IF,Sesion,Grupo,PPR,Sujeto,,Promedio,18.00083839,,Claves IF,Promedio en cada IF
C,2,B,6.700000005,305,,,,,,
C,2,B,5.062295077,307,,,,,,
C,2,B,11.09999998,309,,,,,,
C,2,B,9.685245913,3011,,,,,,
C,2,B,7.860655775,3017,,,,,,
C,2,B,5.713114768,3019,,,,,,
C,3,B,6.606557451,301,,,,,,
C,3,B,6.016393418,303,,,,,,
C,3,B,5.73114756,305,,,,,,
C,3,B,5.809836098,307,,,,,,
C,3,B,10.67540986,309,,,,,,
C,3,B,10.15901643,3011,,,,,,
C,3,B,7.718032794,3017,,,,,,
C,3,B,6.296721331,3019,,,,,,
C,4,B,7.577049201,301,,,,,,
C,4,B,6.56065575,303,,,,,,
C,4,B,6.16885246,305,,,,,,
C,4,B,5.465573751,307,,,,,,
C,4,B,10.68852459,309,,,,,,
C,4,B,9.926229507,3011,,,,,,
C,4,B,9.126229552,3017,,,,,,
C,4,B,6.811475367,3019,,,,,,
C,5,B,6.434426249,301,,,,,,
C,5,B,8.011475442,303,,,,,,
C,5,B,6.386885227,305,,,,,,
C,5,B,8.977049101,307,,,,,,
C,5,B,10.34918027,309,,,,,,
C,5,B,10.02295081,3011,,,,,,
C,5,B,7.631147518,3017,,,,,,
C,5,B,5.627868832,3019,,,,,,
C,1,A,12.14918034,302,,,,,,
C,1,A,11.25573775,304,,,,,,
C,1,A,7.995081925,306,,,,,,
C,1,A,14.76557382,308,,,,,,
C,1,A,8.696721319,3010,,,,,,
C,1,A,11.57049176,3012,,,,,,
C,1,A,8.021311517,3014,,,,,,
C,1,A,8.934426235,3016,,,,,,
C,2,A,11.52950822,302,,,,,,
C,2,A,13.05409834,304,,,,,,
C,2,A,10.64426232,306,,,,,,
C,2,A,11.76229504,308,,,,,,
C,2,A,9.032786905,3010,,,,,,
C,2,A,12.1065574,3012,,,,,,
C,2,A,6.493442616,3014,,,,,,
C,2,A,8.986885282,3016,,,,,,
C,3,A,12.7081967,302,,,,,,
C,3,A,13.19016392,304,,,,,,
C,3,A,9.070491814,306,,,,,,
C,3,A,15.18196717,308,,,,,,
C,3,A,9.670491844,3010,,,,,,
C,3,A,12.7245902,3012,,,,,,
C,3,A,7.752458982,3014,,,,,,
C,3,A,8.96065576,3016,,,,,,
C,4,A,12.19672134,302,,,,,,
C,4,A,12.18360663,304,,,,,,
C,4,A,8.604918023,306,,,,,,
C,4,A,15.40819676,308,,,,,,
C,4,A,10.26557382,3010,,,,,,
C,4,A,12.82950826,3012,,,,,,
C,4,A,7.145901637,3014,,,,,,
C,4,A,9.529508223,3016,,,,,,
C,5,A,9.177049127,302,,,,,,
C,5,A,15.68688525,304,,,,,,
C,5,A,7.922950823,306,,,,,,
C,5,A,14.11639341,308,,,,,,
C,5,A,10.93114755,3010,,,,,,
C,5,A,12.32950824,3012,,,,,,
C,5,A,9.463934437,3014,,,,,,
C,5,A,8.436065604+D217D216:D221D157:D221,3016,,,,,,
